Unnamed: 0,Project,specification,area,price
0,0,Park Titan,3 BHK,"988-1,212 sq.ft. (92-113 sq.m.) Carpet Area",₹ 94 L - 1.16 Cr
1,1,Park Titan,2 BHK,726-789 sq.ft. (67-73 sq.m.) Carpet Area,₹ 70  - 76 L
2,2,TCG Cliff Garden,,,
3,3,TCG Cliff Garden,,,
4,4,Vaishnavi Homes,,,
5,5,Kohinoor Coral,,,
6,6,Shapoorji Joyville Sensorium,,,
7,7,Geras Adara,,,
8,8,Shapoorji Joyville Sensorium,,,
9,9,Shapoorji Joyville Sensorium,,,
10,10,Shapoorji Joyville Sensorium,,,
11,11,Paranjape Blue Ridge4.4 ★,,,
12,12,Vision Eternity,,,
13,13,Kumar Megapolis4.5 ★,,,
14,14,Kumar Megapolis4.5 ★,,,
15,15,Kumar Megapolis4.5 ★,,,
16,16,Paranjape Blue Ridge4.5 ★,,,
17,17,Paranjape Blue Ridge4.5 ★,,,
18,18,Kolte Patil Life Republic4.5 ★,,,
19,19,Geras Adara,,,
20,20,Sportsville,,,
21,21,ITrend Homes3.7 ★,,,
22,22,Sportsville,,,
23,23,Sportsville,,,
24,24,Kolte Patil Life Republic4.5 ★,,,
25,25,Park Titan,3 BHK,"988-1,212 sq.ft. (92-113 sq.m.) Carpet Area",₹ 94 L - 1.16 Cr
26,26,Park Titan,2 BHK,726-789 sq.ft. (67-73 sq.m.) Carpet Area,₹ 70  - 76 L
27,27,TCG Cliff Garden,,,
28,28,TCG Cliff Garden,,,
29,29,Vaishnavi Homes,,,
30,30,Kohinoor Coral,,,
31,31,Shapoorji Joyville Sensorium,,,
32,32,Geras Adara,,,
33,33,Shapoorji Joyville Sensorium,,,
34,34,Shapoorji Joyville Sensorium,,,
35,35,Shapoorji Joyville Sensorium,,,
36,36,Paranjape Blue Ridge4.4 ★,,,
37,37,Vision Eternity,,,
38,38,Kumar Megapolis4.5 ★,,,
39,39,Kumar Megapolis4.5 ★,,,
40,40,Kumar Megapolis4.5 ★,,,
41,41,Paranjape Blue Ridge4.5 ★,,,
42,42,Paranjape Blue Ridge4.5 ★,,,
43,43,Kolte Patil Life Republic4.5 ★,,,
44,44,Geras Adara,,,
45,45,Sportsville,,,
46,46,ITrend Homes3.7 ★,2 BHK2 Baths,587 sq.ft. (55 sq.m.) Carpet Area,"₹ 49 L₹ 9,473/sq.ft."
47,47,Sportsville,3 BHK3 Baths,879 sq.ft. (82 sq.m.) Carpet Area,₹ 78.9 L
48,48,Sportsville,1 BHK1 Bath,479 sq.ft. (45 sq.m.) Carpet Area,₹ 39.9 L
49,49,Kolte Patil Life Republic4.5 ★,3 BHK3 Baths,"754-1,594 sq.ft. (70-148 sq.m.) Carpet Area","₹ 76 L - 1.6 Cr₹ 10,050/sq.ft."
50,50,Kolte Patil Life Republic4.5 ★,2 BHK2 Baths,530-889 sq.ft. (49-83 sq.m.) Carpet Area,"₹ 59  - 99 L₹ 11,129/sq.ft."
51,51,Kolte Patil Life Republic4.5 ★,1 BHK1 Bath,410-470 sq.ft. (38-44 sq.m.) Carpet Area,"₹ 43.05  - 49.35 L₹ 10,500/sq.ft."
52,52,Apostrophe Hinjawadi,2 BHK2 Baths,642 sq.ft. (60 sq.m.) Carpet Area,₹ 65 L
53,53,Kolte Patil Oro Avenue,1 BHK1 Bath,366-471 sq.ft. (34-44 sq.m.) Carpet Area,"₹ 39.03  - 50.23 L₹ 10,658/sq.ft."
54,54,Kolte Patil First Avenue Tower C,3 BHK3 Baths,751-762 sq.ft. (70-71 sq.m.) Carpet Area,"₹ 75.3  - 76.4 L₹ 10,016/sq.ft."
55,55,Kolte Patil Life Republic4.5 ★,2 BHK2 Baths,"1,080 sq.ft. (100 sq.m.) Built-up Area","₹ 65 L₹ 8,074/sq.ft."
56,56,Kolte Patil First Avenue Tower C,3 BHK3 Baths,751-762 sq.ft. (70-71 sq.m.) Carpet Area,"₹ 75.4  - 76.51 L₹ 10,030/sq.ft."
57,57,Park Titan,3 BHK,"970-1,225 sq.ft. (90-114 sq.m.) Carpet Area",₹ 94 L - 1.19 Cr
58,58,Park Titan,2 BHK,720-815 sq.ft. (67-76 sq.m.) Carpet Area,₹ 70  - 79.23 L
59,59,TCG Cliff Garden,2 BHK2 Baths,658 sq.ft. (61 sq.m.) Carpet Area,₹ 55.5 L
60,60,TCG Cliff Garden,2 BHK2 Baths,658-742 sq.ft. (61-69 sq.m.) Carpet Area,₹ 52.25  - 59.2 L
61,61,Paranjape Trident Towers,2 BHK2 Baths,664 sq.ft. (62 sq.m.) Super built-up Area,"₹ 65 L₹ 9,789/sq.ft."
62,62,Kohinoor Coral,2 BHK,493-760 sq.ft. (46-71 sq.m.) Carpet Area,"₹ 44.69  - 68.89 L₹ 9,059/sq.ft."
63,63,Shapoorji Joyville Sensorium,3 BHK3 Baths,"787-1,159 sq.ft. (73-108 sq.m.) Carpet Area","₹ 83.69 L - 1.23 Cr₹ 10,633/sq.ft."
64,64,Shapoorji Joyville Sensorium,2 BHK2 Baths,536-970 sq.ft. (50-90 sq.m.) Carpet Area,"₹ 68.13 L - 1.23 Cr₹ 12,687/sq.ft."
65,65,Kohinoor Coral,2 BHK,493-760 sq.ft. (46-71 sq.m.) Carpet Area,"₹ 44.69  - 68.89 L₹ 9,059/sq.ft."
66,66,Shapoorji Joyville,2 BHK2 Baths,770 sq.ft. (72 sq.m.) Carpet Area,"₹ 98 L₹ 12,727/sq.ft."
67,67,TCG Cliff Garden,1 BHK1 Bath,461 sq.ft. (43 sq.m.) Carpet Area,₹ 39 L
68,68,Kohinoor Coral,2 BHK,493-760 sq.ft. (46-71 sq.m.) Carpet Area,"₹ 44.69  - 68.89 L₹ 9,059/sq.ft."
69,69,Godrej 24,3 BHK3 Baths,"1,530 sq.ft. (142 sq.m.) Built-up Area","₹ 1.4 Cr₹ 8,496/sq.ft."
70,70,Kasturi Eon Homes4.1 ★,3 BHK,977 sq.ft. (91 sq.m.) Carpet Area,"₹ 90 L₹ 9,209/sq.ft."
71,71,Kasturi Eon Homes4.1 ★,2 BHK,721 sq.ft. (67 sq.m.) Carpet Area,"₹ 70 L₹ 9,699/sq.ft."
72,72,Rohan Prathama,2 BHK2 Baths,700 sq.ft. (65 sq.m.) Carpet Area,"₹ 64.88 L₹ 9,268/sq.ft."
73,73,Pride Purple Park Connect,3 BHK3 Baths,700-997 sq.ft. (65-93 sq.m.) Carpet Area,"₹ 82 L - 1.17 Cr₹ 11,714/sq.ft."
74,74,Pride Purple Park Connect,2 BHK2 Baths,"490-1,020 sq.ft. (46-95 sq.m.) Carpet Area","₹ 60 L - 1.25 Cr₹ 12,237/sq.ft."
75,75,Park Titan,2 BHK,720-815 sq.ft. (67-76 sq.m.) Carpet Area,₹ 66.06  - 74.78 L
76,76,Pride Purple Park Connect,2 BHK2 Baths,490 sq.ft. (46 sq.m.) Carpet Area,"₹ 60 L₹ 12,221/sq.ft."
